55-Cs_n-tot
> 55-Cs-133:1.000000
5.360550e+00 1.37720000e+02
5.378750e+00 1.47051000e+02
5.396940e+00 1.57408000e+02
5.414300e+00 1.68394000e+02
5.422990e+00 1.74340000e+02
5.431670e+00 1.80618000e+02
5.440350e+00 1.87254000e+02
5.449040e+00 1.94275000e+02
5.457720e+00 2.01711000e+02
5.466400e+00 2.09596000e+02
5.475090e+00 2.17967000e+02
5.483770e+00 2.26865000e+02
5.492450e+00 2.36335000e+02
5.501130e+00 2.46427000e+02
5.509820e+00 2.57199000e+02
5.518500e+00 2.68713000e+02
5.527180e+00 2.81040000e+02
5.535870e+00 2.94257000e+02
5.544960e+00 3.09158000e+02
5.554060e+00 3.25249000e+02
5.563160e+00 3.42665000e+02
5.572250e+00 3.61551000e+02
5.581350e+00 3.82084000e+02
5.590450e+00 4.04457000e+02
5.599540e+00 4.28901000e+02
5.608640e+00 4.55677000e+02
5.617740e+00 4.85096000e+02
5.626830e+00 5.17512000e+02
5.631380e+00 5.34977000e+02
5.635930e+00 5.53353000e+02
5.640480e+00 5.72706000e+02
5.645020e+00 5.93107000e+02
5.649570e+00 6.14637000e+02
5.654120e+00 6.37370000e+02
5.658670e+00 6.61402000e+02
5.663220e+00 6.86831000e+02
5.667770e+00 7.13771000e+02
5.672310e+00 7.42328000e+02
5.676860e+00 7.72638000e+02
5.681410e+00 8.04839000e+02
5.685550e+00 8.35888000e+02
5.689680e+00 8.68754000e+02
5.693820e+00 9.03572000e+02
5.697950e+00 9.40479000e+02
5.702080e+00 9.79651000e+02
5.706220e+00 1.02125000e+03
5.710350e+00 1.06546000e+03
5.714490e+00 1.11247000e+03
5.718620e+00 1.16250000e+03
5.722760e+00 1.21578000e+03
5.726890e+00 1.27253000e+03
5.731030e+00 1.33301000e+03
5.735160e+00 1.39749000e+03
5.739300e+00 1.46625000e+03
5.743430e+00 1.53958000e+03
5.747570e+00 1.61775000e+03
5.752120e+00 1.70974000e+03
5.756660e+00 1.80837000e+03
5.761210e+00 1.91406000e+03
5.765760e+00 2.02722000e+03
5.770310e+00 2.14824000e+03
5.774860e+00 2.27743000e+03
5.779400e+00 2.41512000e+03
5.783950e+00 2.56156000e+03
5.788500e+00 2.71697000e+03
5.793050e+00 2.88139000e+03
5.797600e+00 3.05484000e+03
5.802150e+00 3.23719000e+03
5.806690e+00 3.42823000e+03
5.811240e+00 3.62748000e+03
5.815790e+00 3.83439000e+03
5.820340e+00 4.04822000e+03
5.829920e+00 4.51672000e+03
5.839490e+00 5.00001000e+03
5.849070e+00 5.48297000e+03
5.858650e+00 5.94750000e+03
5.864580e+00 6.21688000e+03
5.870500e+00 6.46662000e+03
5.876430e+00 6.69190000e+03
5.882350e+00 6.88817000e+03
5.888280e+00 7.05129000e+03
5.894200e+00 7.17773000e+03
5.900130e+00 7.26470000e+03
5.906050e+00 7.31026000e+03
5.910000e+00 7.31709000e+03
