Mo-96(n,g) ENDFB-8.0
Energy(eV) XS(b)
417.379 0.213408
417.446 0.226373
417.513 0.240669
417.580 0.256513
417.647 0.274183
417.714 0.294033
417.781 0.316534
417.855 0.345144
417.892 0.361270
417.929 0.378864
417.966 0.398151
418.003 0.419403
418.040 0.442947
418.077 0.469178
418.114 0.498651
418.151 0.531777
418.188 0.569311
418.224 0.612063
418.261 0.661001
418.298 0.717267
418.317 0.748648
418.335 0.782209
418.354 0.818519
418.372 0.857407
418.399 0.919736
418.426 0.989026
418.453 1.06669
418.479 1.15313
418.506 1.25009
418.533 1.35802
418.547 1.41708
418.560 1.47904
418.573 1.54449
418.587 1.61364
418.600 1.68722
418.614 1.76436
418.627 1.84578
418.641 1.93170
418.654 2.02304
418.667 2.11867
418.681 2.21949
418.694 2.32573
418.708 2.43850
418.721 2.55638
418.735 2.68044
418.748 2.81095
418.761 2.94923
418.775 3.09350
418.788 3.24504
418.802 3.40413
418.820 3.63670
418.839 3.88495
418.857 4.14964
418.876 4.42994
418.894 4.72967
418.912 5.04631
418.931 5.38403
418.949 5.73988
418.968 6.11842
418.986 6.51619
419.005 6.93815
419.023 7.38029
419.042 7.84793
419.060 8.33649
419.079 8.85168
419.097 9.38825
419.127 10.3218
419.157 11.3214
419.188 12.3871
419.218 13.5178
419.248 14.7119
419.278 15.9667
419.308 17.2786
419.339 18.6429
419.375 20.3728
419.412 22.1601
419.486 25.8464
419.560 29.5658
419.634 33.1407
419.674 34.9691
419.714 36.6677
419.751 38.0958
419.788 39.3688
419.825 40.4714
419.862 41.3865
419.899 42.0994
419.938 42.6204
419.967 42.8469
419.996 42.9347
420.000 42.9359
420.015 42.9170
420.029 42.8636
420.058 42.6525
420.084 42.3430
420.110 41.9256
420.137 41.3852
420.164 40.7399
420.191 39.9905
420.218 39.1489
420.257 37.7652
420.296 36.2221
420.349 33.8781
420.403 31.3484
420.510 25.9943
420.562 23.4209
420.613 20.9130
420.664 18.5071
420.690 17.3533
420.715 16.2369
420.742 15.1074
420.769 14.0290
420.796 12.9995
420.822 12.0206
420.849 11.0897
420.876 10.2144
420.903 9.39086
420.930 8.61883
420.949 8.08634
420.969 7.58302
420.988 7.10558
421.008 6.65344
421.027 6.22594
421.047 5.82237
421.066 5.44199
421.086 5.08400
421.105 4.74590
421.125 4.43029
421.144 4.13452
421.164 3.85771
421.183 3.59899
421.203 3.35748
421.222 3.13229
421.242 2.92258
421.255 2.78600
421.269 2.65709
421.282 2.53455
421.296 2.41811
421.309 2.30672
421.323 2.20176
421.336 2.10216
421.349 2.00768
421.363 1.91743
421.376 1.83252
421.390 1.75205
421.403 1.67581
421.416 1.60360
421.430 1.53521
421.443 1.47046
421.457 1.40917
421.484 1.29585
421.510 1.19478
421.537 1.10396
421.564 1.02295
421.591 0.950124
421.618 0.885106
421.645 0.826774
421.671 0.774379
421.695 0.733297
421.718 0.695767
421.741 0.661434
421.764 0.630105
421.787 0.601220
421.810 0.574661
421.834 0.550192
421.857 0.527697
421.903 0.487411
421.949 0.452702
421.996 0.422460
422.042 0.395878
422.088 0.372267
422.135 0.351220
422.181 0.332239
422.227 0.315082
422.274 0.299416
422.320 0.285098
422.366 0.271924
422.413 0.259753
422.481 0.243391
422.549 0.228665
422.618 0.215339
422.686 0.203223
422.754 0.192164
422.823 0.182034
422.891 0.172726
422.959 0.164148
423.096 0.148881
423.232 0.135727
423.369 0.124301
423.506 0.114305
423.623 0.106693
423.740 0.0998395
423.857 0.0936438
423.974 0.0880235
424.091 0.0829084
424.208 0.0782392
424.442 0.0700458
424.676 0.0631091
424.911 0.0571853
425.145 0.0520837
425.379 0.0476567
425.594 0.0440875
425.808 0.0409161
426.023 0.0380827
426.238 0.0355435
426.452 0.0332575
426.667 0.0311941
427.096 0.0276242
427.525 0.0246574
427.955 0.0221651
428.384 0.0200536
428.813 0.0182512
429.282 0.0165650
429.750 0.0151116
430.218 0.0138512
430.687 0.0127535
431.155 0.0117916
431.623 0.0109442
432.560 0.00952543
433.497 0.00839169
434.433 0.00747194
435.370 0.00672294
436.307 0.00609166
437.478 0.00543653
438.648 0.00489997
439.819 0.00445461
440.990 0.00408070
442.161 0.00376343
443.332 0.00349177
445.673 0.00305931
448.015 0.00272057
450.357 0.00245462
