Ca-42(n,g) ENDFB-8.0
Energy(eV) XS(b)
22593.7 0.0195692
22595.9 0.0203038
22598.0 0.0210773
22600.1 0.0218963
22602.3 0.0227645
22605.6 0.0242090
22608.9 0.0257919
22612.2 0.0275421
22613.8 0.0284853
22615.5 0.0294718
22617.1 0.0305173
22618.8 0.0316195
22620.4 0.0327827
22622.0 0.0340037
22623.7 0.0353025
22625.3 0.0366775
22627.0 0.0381347
22628.6 0.0396716
22630.5 0.0414893
22632.3 0.0434248
22634.1 0.0455000
22635.9 0.0477284
22637.7 0.0501392
22639.5 0.0527232
22641.3 0.0555129
22643.1 0.0585306
22645.0 0.0618204
22645.9 0.0635705
22646.8 0.0653756
22647.7 0.0672801
22648.6 0.0692468
22649.5 0.0713244
22650.4 0.0734726
22651.3 0.0757448
22652.2 0.0780973
22653.1 0.0805891
22654.0 0.0831727
22654.9 0.0859132
22655.8 0.0887588
22656.7 0.0917820
22657.6 0.0949262
22658.5 0.0981212
22659.4 0.101480
22660.2 0.105013
22661.1 0.108690
22662.0 0.112608
22662.8 0.116692
22663.7 0.121053
22664.6 0.125607
22665.4 0.130478
22666.3 0.135576
22667.2 0.141040
22668.0 0.146770
22668.9 0.152926
22669.7 0.159396
22670.6 0.166364
22671.5 0.173705
22672.4 0.182009
22673.3 0.190813
22674.2 0.200371
22675.1 0.210536
22676.0 0.221606
22676.9 0.233416
22677.8 0.246320
22678.7 0.260134
22679.6 0.275279
22680.5 0.291736
22681.4 0.309650
22682.3 0.328961
22683.3 0.350277
22684.2 0.373597
22685.1 0.399148
22686.0 0.426856
22686.4 0.442039
22686.9 0.457609
22687.3 0.474295
22687.8 0.491410
22688.3 0.509757
22688.7 0.528578
22689.2 0.548304
22689.6 0.568976
22690.1 0.591129
22690.5 0.613841
22691.0 0.637625
22691.4 0.662520
22691.9 0.689157
22692.3 0.716415
22692.8 0.744892
22693.2 0.774618
22693.7 0.806322
22694.1 0.838645
22695.0 0.907215
22695.9 0.981006
22696.8 1.05987
22697.7 1.14440
22698.6 1.23217
22699.5 1.32326
22700.4 1.41656
22702.4 1.61635
22703.3 1.71241
22704.3 1.80179
22705.2 1.88382
22706.2 1.95432
22707.1 2.01245
22708.1 2.05503
22708.6 2.07039
22709.1 2.08143
22709.5 2.08803
22710.0 2.09014
22710.6 2.08607
22711.2 2.07690
22711.7 2.06257
22712.2 2.04326
22712.7 2.01915
22713.2 1.99052
22713.8 1.95764
22714.8 1.88135
22715.8 1.79175
22716.9 1.69371
22717.9 1.58856
22718.9 1.48134
22720.6 1.31191
22722.2 1.15101
22723.0 1.07431
22723.8 1.00233
22724.6 0.934390
22725.4 0.870655
22726.0 0.826181
22726.6 0.784021
22727.2 0.744138
22727.8 0.706473
22728.4 0.670956
22729.0 0.637505
22729.6 0.606028
22730.2 0.576432
22730.8 0.548617
22731.4 0.522487
22732.0 0.497942
22732.6 0.474887
22733.2 0.453229
22733.8 0.432878
22734.4 0.413749
22735.0 0.396051
22735.6 0.379110
22736.2 0.363162
22736.8 0.348140
22737.4 0.333980
22738.6 0.308019
22739.8 0.285038
22741.0 0.264289
22742.2 0.245664
22743.4 0.228896
22744.6 0.213873
22745.8 0.200148
22747.0 0.187684
22748.2 0.176334
22749.4 0.166056
22750.6 0.156566
22751.8 0.147861
22753.0 0.139858
22754.2 0.132542
22755.3 0.126001
22756.5 0.119982
22757.6 0.114334
22758.8 0.109118
22759.9 0.104207
22761.1 0.0996582
22762.2 0.0953991
22763.3 0.0914062
22765.6 0.0841045
22767.9 0.0776684
22770.2 0.0719188
22772.5 0.0668055
22774.9 0.0619906
22777.3 0.0576782
22779.7 0.0538010
22782.1 0.0503163
22784.5 0.0471475
22786.9 0.0442809
22789.3 0.0416582
22791.6 0.0392720
22794.9 0.0363271
22798.2 0.0337034
22801.5 0.0313565
22804.7 0.0292545
22808.0 0.0273525
22811.2 0.0256352
22814.5 0.0240700
22817.8 0.0226486
22822.6 0.0207755
22827.4 0.0191304
22832.2 0.0176749
22836.9 0.0163809
22841.7 0.0152253
22846.5 0.0141892
22851.3 0.0132566
22856.1 0.0124142
22860.9 0.0116507
22865.7 0.0109565
22870.5 0.0103236
22875.3 0.00974495
22880.1 0.00921449
22884.8 0.00872703
22894.4 0.00786390
22903.1 0.00718881
22911.9 0.00659925
22920.6 0.00608032
22929.3 0.00562199
22938.0 0.00521525
22946.7 0.00485263
22955.4 0.00452799
22964.1 0.00423621
22973.7 0.00394784
22983.3 0.00368960
22992.9 0.00345719
23002.4 0.00324729
23021.6 0.00288402
23040.8 0.00258233
23056.5 0.00237186
23072.1 0.00218903
23087.8 0.00202795
23103.5 0.00188556
23119.2 0.00175928
23134.9 0.00164677
23166.2 0.00145579
23185.4 0.00135730
23204.5 0.00127012
23242.9 0.00112330
23281.2 0.00100524
23319.5 0.000908955
23352.6 0.000839465
23385.7 0.000780322
23418.8 0.000729083
23451.9 0.000684804
23518.1 0.000612237
23584.3 0.000555800
23636.6 0.000519900
23688.9 0.000489858
23741.1 0.000464496
23793.4 0.000443153
23897.9 0.000408768
24002.4 0.000383304
24093.0 0.000366581
24183.6 0.000353370
24364.8 0.000335206
24546.0 0.000325104
24727.2 0.000320525
24950.2 0.000322193
25173.2 0.000332497
25396.2 0.000356200
25507.7 0.000377203
25619.2 0.000409635
25709.8 0.000451367
25800.4 0.000516132
25845.7 0.000564458
25891.0 0.000630289
25936.3 0.000723077
25981.6 0.000858155
26023.4 0.00104769
26044.3 0.00118154
26065.2 0.00135426
