>,72-Hf-177:0.186000
>,72-Hf-178:0.272800
>,72-Hf-179:0.136200
>,72-Hf-180:0.350800
2.093750e-01,6.42535728e+01
2.117190e-01,6.41152460e+01
2.128910e-01,6.40505511e+01
2.150470e-01,6.39316226e+01
2.175780e-01,6.37924405e+01
2.187500e-01,6.37330340e+01
2.193360e-01,6.37037725e+01
2.207190e-01,6.36347642e+01
2.234380e-01,6.34996297e+01
2.257810e-01,6.33913548e+01
2.281250e-01,6.32845566e+01
2.291090e-01,6.32403950e+01
2.292970e-01,6.32319980e+01
2.322270e-01,6.31108172e+01
2.339840e-01,6.30382057e+01
2.351560e-01,6.29904386e+01
2.375000e-01,6.29022223e+01
2.381030e-01,6.28799680e+01
2.386720e-01,6.28589880e+01
2.402960e-01,6.27991566e+01
2.410160e-01,6.27726701e+01
2.421880e-01,6.27331548e+01
2.424890e-01,6.27231616e+01
2.451170e-01,6.26361168e+01
2.468750e-01,6.25779373e+01
2.503910e-01,6.24752116e+01
2.515630e-01,6.24415411e+01
2.539060e-01,6.23742871e+01
2.544330e-01,6.23609392e+01
2.562500e-01,6.23152261e+01
2.574220e-01,6.22863411e+01
2.585940e-01,6.22574827e+01
2.609380e-01,6.22007983e+01
2.620360e-01,6.21778236e+01
2.632810e-01,6.21519771e+01
2.656250e-01,6.21033667e+01
2.667970e-01,6.20796045e+01
2.679690e-01,6.20563285e+01
2.691410e-01,6.20366903e+01
2.696390e-01,6.20283559e+01
2.750000e-01,6.19393590e+01
2.814450e-01,6.18578546e+01
2.843750e-01,6.18286111e+01
2.878910e-01,6.17970267e+01
2.937500e-01,6.17602741e+01
2.943360e-01,6.17571315e+01
3.007810e-01,6.17389366e+01
3.031250e-01,6.17387700e+01
3.072270e-01,6.17413613e+01
3.078130e-01,6.17431715e+01
3.125000e-01,6.17582427e+01
3.136720e-01,6.17627734e+01
3.148440e-01,6.17702805e+01
3.201170e-01,6.18047109e+01
3.218750e-01,6.18204994e+01
3.265630e-01,6.18659907e+01
3.289060e-01,6.18941607e+01
3.312500e-01,6.19226268e+01
3.324220e-01,6.19375229e+01
3.359380e-01,6.19900694e+01
3.382810e-01,6.20253678e+01
3.406250e-01,6.20659080e+01
3.429690e-01,6.21076724e+01
3.441410e-01,6.21286949e+01
3.500000e-01,6.22466411e+01
3.564450e-01,6.23954444e+01
3.593750e-01,6.24701451e+01
3.628910e-01,6.25619797e+01
3.687500e-01,6.27296765e+01
3.693360e-01,6.27467662e+01
3.715510e-01,6.28167069e+01
3.757810e-01,6.29506794e+01
3.781250e-01,6.30308554e+01
3.798640e-01,6.30910546e+01
3.822270e-01,6.31732038e+01
3.875000e-01,6.33694997e+01
3.881760e-01,6.33949781e+01
3.886720e-01,6.34137461e+01
3.951170e-01,6.36742570e+01
3.964880e-01,6.37332025e+01
3.968750e-01,6.37498997e+01
4.015630e-01,6.39530485e+01
4.048000e-01,6.41014189e+01
4.062500e-01,6.41680153e+01
4.074220e-01,6.42224868e+01
4.109380e-01,6.43945776e+01
4.132810e-01,6.45094697e+01
4.156250e-01,6.46299532e+01
4.191410e-01,6.48117742e+01
4.250000e-01,6.51298207e+01
4.314450e-01,6.55013454e+01
4.332190e-01,6.56086208e+01
4.343750e-01,6.56787204e+01
4.378910e-01,6.58919662e+01
4.414380e-01,6.61176387e+01
4.437500e-01,6.62649939e+01
4.443360e-01,6.63027117e+01
4.507810e-01,6.67369114e+01
4.531250e-01,6.69024072e+01
4.572270e-01,6.71920630e+01
4.578130e-01,6.72353097e+01
4.625000e-01,6.75819786e+01
4.636720e-01,6.76694970e+01
4.648440e-01,6.77608848e+01
4.701170e-01,6.81729672e+01
4.718750e-01,6.83162834e+01
4.765630e-01,6.86993533e+01
4.789060e-01,6.88987254e+01
4.812500e-01,6.90986023e+01
4.824220e-01,6.91985552e+01
4.859380e-01,6.95102008e+01
4.882810e-01,6.97185020e+01
5.000000e-01,7.08211046e+01
5.153480e-01,7.24098941e+01
5.156250e-01,7.24387072e+01
5.306960e-01,7.41592508e+01
5.312500e-01,7.42228031e+01
5.460440e-01,7.60954061e+01
5.468750e-01,7.62011071e+01
5.613930e-01,7.82274720e+01
5.625000e-01,7.83827373e+01
5.767410e-01,8.05810224e+01
5.781250e-01,8.07957140e+01
5.859380e-01,8.20954621e+01
5.920890e-01,8.31695467e+01
5.937500e-01,8.34610589e+01
6.015630e-01,8.49021584e+01
6.074370e-01,8.60396958e+01
6.093750e-01,8.64169618e+01
6.171880e-01,8.80132751e+01
6.227850e-01,8.92142372e+01
6.250000e-01,8.96918302e+01
6.351780e-01,9.20262758e+01
6.357420e-01,9.21562418e+01
6.464840e-01,9.48069968e+01
6.475720e-01,9.50949034e+01
6.562500e-01,9.74017733e+01
6.572270e-01,9.76615008e+01
6.599650e-01,9.84430518e+01
6.679690e-01,1.00738493e+02
6.723580e-01,1.02091942e+02
6.787110e-01,1.04060751e+02
6.847510e-01,1.06075673e+02
6.875000e-01,1.06997656e+02
6.894530e-01,1.07653865e+02
6.971450e-01,1.10440563e+02
7.001950e-01,1.11551908e+02
7.095380e-01,1.15227613e+02
7.109380e-01,1.15780874e+02
7.157340e-01,1.17823983e+02
7.187500e-01,1.19112719e+02
7.207030e-01,1.19947254e+02
7.219310e-01,1.20511832e+02
7.304690e-01,1.24452853e+02
7.316010e-01,1.25016151e+02
7.402340e-01,1.29333645e+02
7.412700e-01,1.29893068e+02
7.500000e-01,1.34631968e+02
7.509400e-01,1.35186852e+02
7.606100e-01,1.40926596e+02
7.607420e-01,1.41005441e+02
7.661130e-01,1.44431710e+02
7.702800e-01,1.47212679e+02
7.714840e-01,1.48021422e+02
7.768560e-01,1.51798093e+02
7.799490e-01,1.54076315e+02
7.812500e-01,1.55039404e+02
7.822270e-01,1.55762654e+02
7.847840e-01,1.57747100e+02
7.875980e-01,1.59938623e+02
7.896190e-01,1.61589961e+02
7.929690e-01,1.64337086e+02
7.944540e-01,1.65615710e+02
7.983400e-01,1.68974087e+02
7.992890e-01,1.69835881e+02
8.037110e-01,1.73870976e+02
8.064830e-01,1.76531376e+02
8.090820e-01,1.79041001e+02
8.125000e-01,1.82514719e+02
8.136770e-01,1.83711394e+02
8.144530e-01,1.84505556e+02
8.198240e-01,1.90295795e+02
8.208720e-01,1.91487184e+02
8.251950e-01,1.96434768e+02
8.280660e-01,1.99902239e+02
