49-In_n-g
> 49-In-113:0.042900
> 49-In-115:0.957100
1.686290e+00 9.34861068e+02
1.686590e+00 9.32472488e+02
1.690310e+00 9.02929510e+02
1.690480e+00 9.01583333e+02
1.694030e+00 8.75099198e+02
1.694680e+00 8.70267009e+02
1.697740e+00 8.48713351e+02
1.698870e+00 8.40784729e+02
1.701460e+00 8.24099719e+02
1.703500e+00 8.11007839e+02
1.705540e+00 7.97951696e+02
1.707270e+00 7.86908699e+02
1.707590e+00 7.85075578e+02
1.709630e+00 7.73432181e+02
1.711670e+00 7.61830139e+02
1.713720e+00 7.50209146e+02
1.715660e+00 7.39258120e+02
1.715760e+00 7.38742113e+02
1.717800e+00 7.28260417e+02
1.719850e+00 7.17769635e+02
1.721090e+00 7.11455619e+02
1.721890e+00 7.07658157e+02
1.723930e+00 6.98023662e+02
1.725980e+00 6.88384992e+02
1.726520e+00 6.85860769e+02
1.728020e+00 6.79324416e+02
1.730060e+00 6.70483839e+02
1.731950e+00 6.62332885e+02
1.732110e+00 6.61689559e+02
1.734150e+00 6.53542033e+02
1.736940e+00 6.42470362e+02
1.737380e+00 6.40738540e+02
1.739720e+00 6.32158210e+02
1.742510e+00 6.21999075e+02
1.742810e+00 6.20914141e+02
1.745300e+00 6.12532407e+02
1.748080e+00 6.03243114e+02
1.748240e+00 6.02710780e+02
1.750870e+00 5.94568279e+02
1.753660e+00 5.85965595e+02
1.753670e+00 5.85934856e+02
1.756440e+00 5.78013736e+02
1.759100e+00 5.70400195e+02
1.760610e+00 5.66377647e+02
1.764530e+00 5.55874917e+02
1.764780e+00 5.55251589e+02
1.768950e+00 5.44719342e+02
1.769960e+00 5.42117141e+02
1.773120e+00 5.34773761e+02
1.776480e+00 5.26760579e+02
1.779840e+00 5.18520455e+02
1.780820e+00 5.16040384e+02
1.783200e+00 5.10732397e+02
1.786560e+00 5.02942329e+02
1.789920e+00 4.94827936e+02
1.791680e+00 4.90395746e+02
1.793280e+00 4.86786549e+02
1.796640e+00 4.78844730e+02
1.800000e+00 4.70531398e+02
1.802140e+00 4.65042298e+02
1.802540e+00 4.63988312e+02
1.804280e+00 4.59804174e+02
1.808550e+00 4.49096374e+02
1.812830e+00 4.37812078e+02
1.813400e+00 4.36242302e+02
1.817110e+00 4.26779956e+02
1.820800e+00 4.17009773e+02
1.824260e+00 4.07585897e+02
1.824490e+00 4.07000785e+02
1.828180e+00 3.97384468e+02
1.831880e+00 3.87572148e+02
1.835120e+00 3.78863744e+02
1.835570e+00 3.77726145e+02
1.839260e+00 3.68323187e+02
1.842950e+00 3.58893201e+02
1.845980e+00 3.51162562e+02
1.846640e+00 3.49572483e+02
1.853560e+00 3.33075060e+02
1.856840e+00 3.25371131e+02
1.857010e+00 3.24993521e+02
1.860470e+00 3.17427059e+02
1.863930e+00 3.09983120e+02
1.867380e+00 3.02685543e+02
1.867700e+00 3.02021940e+02
1.870840e+00 2.95868972e+02
1.874300e+00 2.89228290e+02
1.877750e+00 2.82738448e+02
1.878560e+00 2.81247651e+02
1.881210e+00 2.76642668e+02
1.884670e+00 2.70760625e+02
1.888130e+00 2.65003207e+02
1.889420e+00 2.62899104e+02
1.891580e+00 2.59602096e+02
1.895040e+00 2.54435281e+02
1.898500e+00 2.49371340e+02
1.901950e+00 2.44414252e+02
1.903250e+00 2.42574826e+02
1.904000e+00 2.41590656e+02
1.906040e+00 2.38940009e+02
1.910120e+00 2.33720353e+02
1.914210e+00 2.28589381e+02
1.917070e+00 2.25062341e+02
1.918290e+00 2.23668904e+02
1.922380e+00 2.19078619e+02
1.926470e+00 2.14559204e+02
1.930550e+00 2.10112100e+02
1.930890e+00 2.09746299e+02
1.934640e+00 2.06013770e+02
1.938090e+00 2.02617535e+02
1.941550e+00 1.99245204e+02
1.944710e+00 1.96192228e+02
1.945010e+00 1.95923850e+02
1.948460e+00 1.92863232e+02
1.951920e+00 1.89819168e+02
1.955380e+00 1.86797412e+02
1.958530e+00 1.84064117e+02
1.958830e+00 1.83823198e+02
1.962290e+00 1.81064132e+02
1.965750e+00 1.78322012e+02
1.969200e+00 1.75602673e+02
1.972360e+00 1.73125696e+02
1.972660e+00 1.72907628e+02
1.976120e+00 1.70405789e+02
1.979570e+00 1.67922730e+02
1.983030e+00 1.65444228e+02
1.986180e+00 1.63197248e+02
1.986490e+00 1.62992111e+02
1.989940e+00 1.60718290e+02
1.994970e+00 1.57419331e+02
2.000000e+00 1.54137284e+02
2.003580e+00 1.51954959e+02
2.007150e+00 1.49785502e+02
2.009720e+00 1.48230867e+02
2.014300e+00 1.45599704e+02
2.019440e+00 1.42663465e+02
2.021450e+00 1.41598350e+02
2.028600e+00 1.37829715e+02
2.035750e+00 1.34078798e+02
2.038870e+00 1.32448840e+02
2.042900e+00 1.30543721e+02
2.050050e+00 1.27177467e+02
2.057200e+00 1.23823452e+02
2.058310e+00 1.23304287e+02
2.062730e+00 1.21427118e+02
2.068250e+00 1.19088568e+02
2.073780e+00 1.16751412e+02
2.077740e+00 1.15081284e+02
2.079300e+00 1.14482822e+02
2.084830e+00 1.12366119e+02
2.090350e+00 1.10257380e+02
2.095880e+00 1.08148884e+02
2.097180e+00 1.07654049e+02
2.101400e+00 1.06188811e+02
2.106930e+00 1.04272211e+02
2.112450e+00 1.02362109e+02
2.116620e+00 1.00922414e+02
2.123500e+00 9.87496463e+01
2.134550e+00 9.52700833e+01
2.136050e+00 9.47989441e+01
2.145600e+00 9.20517522e+01
2.152750e+00 8.99991436e+01
2.155490e+00 8.92136889e+01
2.159900e+00 8.80611442e+01
2.167050e+00 8.61952558e+01
2.174200e+00 8.43318986e+01
2.178460e+00 8.32231007e+01
2.181350e+00 8.25410560e+01
2.188500e+00 8.08558109e+01
2.195650e+00 7.91725735e+01
2.201430e+00 7.78133706e+01
2.202800e+00 7.75204623e+01
2.217100e+00 7.44681777e+01
2.224400e+00 7.29130953e+01
2.231400e+00 7.15545728e+01
2.245700e+00 6.87845563e+01
2.247370e+00 6.84616019e+01
2.260000e+00 6.62317474e+01
2.270340e+00 6.44091195e+01
2.274300e+00 6.37702123e+01
2.288600e+00 6.14666126e+01
2.293310e+00 6.07089172e+01
2.302900e+00 5.92923295e+01
2.316280e+00 5.73185306e+01
2.317200e+00 5.71935471e+01
2.331500e+00 5.52533831e+01
2.339240e+00 5.42044691e+01
2.345800e+00 5.33803286e+01
2.358680e+00 5.17640190e+01
2.360100e+00 5.15975126e+01
2.374400e+00 4.99225345e+01
2.378120e+00 4.94872844e+01
2.392600e+00 4.79019957e+01
2.397550e+00 4.73606940e+01
2.410800e+00 4.60047331e+01
2.416990e+00 4.53719653e+01
2.429000e+00 4.42207133e+01
2.436420e+00 4.35101904e+01
2.447200e+00 4.25421350e+01
2.455860e+00 4.17652314e+01
2.465400e+00 4.09615638e+01
2.475300e+00 4.01283605e+01
