Se-78(n,tot) ENDFB-8.0
Energy(eV) XS(b)
377.993 5.01897
378.032 5.09657
378.071 5.17698
378.110 5.26071
378.149 5.34748
378.188 5.43762
378.227 5.53126
378.261 5.61461
378.308 5.73733
378.356 5.86592
378.403 6.00068
378.450 6.14163
378.506 6.31667
378.562 6.50176
378.618 6.69754
378.673 6.90431
378.729 7.12355
378.785 7.35570
378.813 7.47687
378.841 7.60160
378.869 7.73000
378.896 7.86171
378.947 8.10950
378.997 8.37078
379.022 8.50673
379.047 8.64639
379.072 8.78985
379.097 8.93725
379.122 9.08870
379.147 9.24434
379.173 9.40431
379.198 9.56874
379.223 9.73778
379.248 9.91158
379.273 10.0903
379.298 10.2734
379.323 10.4624
379.348 10.6569
379.373 10.8570
379.398 11.0630
379.423 11.2749
379.449 11.4931
379.474 11.7177
379.499 11.9490
379.524 12.1873
379.549 12.4327
379.599 12.9462
379.649 13.4916
379.699 14.0704
379.730 14.4431
379.761 14.8305
379.792 15.2331
379.822 15.6504
379.853 16.0858
379.884 16.5389
379.914 17.0106
379.945 17.5002
379.976 18.0120
380.006 18.5454
380.037 19.1017
380.068 19.6801
380.098 20.2859
380.129 20.9164
380.160 21.5773
380.190 22.2660
380.221 22.9888
380.252 23.7454
380.282 24.5379
380.313 25.3657
380.344 26.2367
380.374 27.1509
380.405 28.1112
380.436 29.1173
380.466 30.1792
380.497 31.2973
380.528 32.4758
380.558 33.7148
380.589 35.0274
380.620 36.4148
380.650 37.8830
380.681 39.4330
380.712 41.0822
380.742 42.8333
380.773 44.6949
380.804 46.6699
380.834 48.7815
380.865 51.0351
380.896 53.4433
380.926 56.0115
380.957 58.7721
380.988 61.7339
381.018 64.9159
381.049 68.3273
381.080 72.0133
381.110 75.9747
381.141 80.2651
381.172 84.8863
381.195 88.7228
381.219 92.8019
381.243 97.1409
381.266 101.759
381.290 106.675
381.314 111.911
381.338 117.488
381.361 123.431
381.385 129.765
381.409 136.515
381.432 143.710
381.456 151.377
381.480 159.548
381.503 168.253
381.527 177.525
381.551 187.397
381.582 201.135
381.612 216.015
381.643 232.118
381.674 249.465
381.704 268.251
381.735 288.501
381.766 310.296
381.796 333.635
381.827 358.742
381.858 385.615
381.888 414.316
381.919 444.797
381.950 477.303
381.980 511.772
382.011 548.226
382.042 586.543
382.072 626.967
382.103 669.348
382.134 713.642
382.164 759.629
382.195 807.524
382.226 856.905
382.287 960.208
382.343 1058.36
382.399 1159.12
382.510 1362.01
382.571 1470.41
382.633 1572.94
382.700 1675.17
382.733 1721.41
382.766 1763.91
382.817 1819.87
382.867 1865.50
382.917 1899.87
382.967 1922.27
383.000 1930.37
383.017 1932.36
383.071 1929.13
383.126 1911.30
383.180 1879.44
383.235 1834.45
383.275 1793.12
383.315 1745.89
383.356 1693.17
383.396 1635.93
383.436 1576.64
383.475 1514.34
383.553 1383.62
383.667 1187.45
383.724 1090.67
383.781 996.772
383.820 934.492
383.859 874.449
383.899 816.897
383.938 762.030
383.977 709.988
384.016 660.863
384.055 614.696
384.095 571.598
384.134 531.313
384.173 493.891
