17-Cl_n-tot
>  17-Cl-35:0.757600
>  17-Cl-37:0.242400
2.187500e+00 1.91790662e+01
2.375000e+00 1.90056359e+01
2.562500e+00 1.88487746e+01
2.750000e+00 1.87058943e+01
2.937500e+00 1.85743386e+01
3.125000e+00 1.84522820e+01
3.312500e+00 1.83385099e+01
3.500000e+00 1.82320326e+01
3.687500e+00 1.81318713e+01
3.875000e+00 1.80372404e+01
4.250000e+00 1.78622063e+01
4.625000e+00 1.77029764e+01
5.000000e+00 1.75566670e+01
5.312500e+00 1.74428603e+01
5.625000e+00 1.73353612e+01
5.937500e+00 1.72332579e+01
6.250000e+00 1.71360912e+01
6.875000e+00 1.69541454e+01
7.500000e+00 1.67860292e+01
8.125000e+00 1.66290812e+01
8.750000e+00 1.64816298e+01
9.375000e+00 1.63420035e+01
1.000000e+01 1.62089854e+01
1.062500e+01 1.60818177e+01
1.125000e+01 1.59597381e+01
1.187500e+01 1.58422186e+01
1.250000e+01 1.57287216e+01
1.312500e+01 1.56187999e+01
1.375000e+01 1.55122117e+01
1.500000e+01 1.53077743e+01
1.625000e+01 1.51133614e+01
1.750000e+01 1.49277537e+01
1.875000e+01 1.47497389e+01
2.000000e+01 1.45782541e+01
2.093750e+01 1.44536459e+01
2.187500e+01 1.43322196e+01
2.375000e+01 1.40977957e+01
2.562500e+01 1.38737680e+01
2.750000e+01 1.36589218e+01
2.937500e+01 1.34523455e+01
3.125000e+01 1.32532034e+01
3.312500e+01 1.30610385e+01
3.500000e+01 1.28752447e+01
3.687500e+01 1.26954468e+01
3.875000e+01 1.25211794e+01
4.062500e+01 1.23522250e+01
4.250000e+01 1.21881949e+01
4.437500e+01 1.20288704e+01
4.625000e+01 1.18739400e+01
4.812500e+01 1.17232583e+01
5.000000e+01 1.15766675e+01
5.312500e+01 1.13407455e+01
5.625000e+01 1.11146013e+01
5.937500e+01 1.08977071e+01
6.250000e+01 1.06894544e+01
6.562500e+01 1.04892383e+01
6.875000e+01 1.02966740e+01
7.187500e+01 1.01113166e+01
7.500000e+01 9.93262605e+00
7.812500e+01 9.76038238e+00
8.125000e+01 9.59419951e+00
8.437500e+01 9.43370349e+00
8.750000e+01 9.27873795e+00
9.062500e+01 9.12892894e+00
9.375000e+01 8.98404433e+00
9.687500e+01 8.84378714e+00
1.000000e+02 8.70807554e+00
1.031250e+02 8.57661015e+00
1.062500e+02 8.44938731e+00
1.125000e+02 8.20623715e+00
1.187500e+02 7.97726138e+00
1.250000e+02 7.76135149e+00
1.312500e+02 7.55752743e+00
1.375000e+02 7.36481737e+00
1.437500e+02 7.18236854e+00
1.500000e+02 7.00942759e+00
1.562500e+02 6.84529965e+00
1.625000e+02 6.68936137e+00
1.687500e+02 6.54104545e+00
1.750000e+02 6.39982066e+00
1.812500e+02 6.26523215e+00
1.875000e+02 6.13684081e+00
1.937500e+02 6.01425359e+00
2.000000e+02 5.89709836e+00
2.077070e+02 5.75987981e+00
2.154140e+02 5.62970695e+00
2.187500e+02 5.57612892e+00
2.231210e+02 5.50593557e+00
2.308280e+02 5.38829121e+00
2.369940e+02 5.29852130e+00
2.375000e+02 5.29144112e+00
2.431600e+02 5.21225124e+00
2.493250e+02 5.12928501e+00
2.554910e+02 5.04945520e+00
2.562500e+02 5.03998797e+00
2.616560e+02 4.97256434e+00
2.678220e+02 4.89850784e+00
2.739880e+02 4.82716355e+00
2.750000e+02 4.81587256e+00
2.801530e+02 4.75838532e+00
2.843920e+02 4.71254421e+00
2.886310e+02 4.66779404e+00
2.928700e+02 4.62413482e+00
2.937500e+02 4.61529624e+00
2.971090e+02 4.58156331e+00
3.013480e+02 4.53999297e+00
3.055860e+02 4.49944542e+00
3.098250e+02 4.45989030e+00
3.125000e+02 4.43552683e+00
3.140640e+02 4.42128359e+00
3.179180e+02 4.38701111e+00
3.217710e+02 4.35354930e+00
3.256250e+02 4.32087535e+00
3.294780e+02 4.28899692e+00
3.312500e+02 4.27462363e+00
3.315980e+02 4.27180125e+00
3.337170e+02 4.25486502e+00
3.358370e+02 4.23817878e+00
3.379560e+02 4.22175772e+00
3.400750e+02 4.20560182e+00
3.421950e+02 4.18972621e+00
3.443140e+02 4.17415366e+00
3.464340e+02 4.15888413e+00
3.481680e+02 4.14664296e+00
3.499020e+02 4.13463665e+00
3.500000e+02 4.13397265e+00
3.516360e+02 4.12288941e+00
3.533700e+02 4.11142256e+00
3.551040e+02 4.10025876e+00
3.568380e+02 4.08942830e+00
3.585720e+02 4.07896149e+00
3.603060e+02 4.06894166e+00
3.613660e+02 4.06305791e+00
3.624260e+02 4.05737113e+00
3.634860e+02 4.05190406e+00
3.645450e+02 4.04667945e+00
3.656050e+02 4.04173512e+00
3.666650e+02 4.03708625e+00
3.677240e+02 4.03278592e+00
3.687500e+02 4.02899747e+00
3.687840e+02 4.02887195e+00
3.697470e+02 4.02569691e+00
3.707110e+02 4.02293852e+00
3.716740e+02 4.02064987e+00
3.726380e+02 4.01889909e+00
3.736010e+02 4.01777715e+00
3.745640e+02 4.01738250e+00
3.750460e+02 4.01748820e+00
3.755280e+02 4.01782876e+00
3.760100e+02 4.01841174e+00
3.764910e+02 4.01925992e+00
3.770210e+02 4.02054593e+00
3.775510e+02 4.02222590e+00
3.780810e+02 4.02435284e+00
3.786110e+02 4.02696466e+00
3.791410e+02 4.03012951e+00
3.796700e+02 4.03389291e+00
3.802000e+02 4.03834569e+00
3.807300e+02 4.04356364e+00
3.812600e+02 4.04965284e+00
3.817900e+02 4.05671934e+00
3.823200e+02 4.06491466e+00
3.828490e+02 4.07439794e+00
3.831140e+02 4.07967745e+00
3.833790e+02 4.08535092e+00
3.836440e+02 4.09145622e+00
3.839090e+02 4.09802366e+00
3.841740e+02 4.10508354e+00
3.844390e+02 4.11268131e+00
3.847040e+02 4.12085486e+00
3.849690e+02 4.12966479e+00
3.853780e+02 4.14464453e+00
3.857880e+02 4.16148793e+00
3.861970e+02 4.18047538e+00
3.866070e+02 4.20190226e+00
3.868110e+02 4.21365364e+00
3.870160e+02 4.22617017e+00
3.872210e+02 4.23950491e+00
3.874260e+02 4.25374119e+00
3.875000e+02 4.25925711e+00
3.876300e+02 4.26894738e+00
3.878350e+02 4.28519912e+00
3.880400e+02 4.30260241e+00
3.882440e+02 4.32125576e+00
3.885090e+02 4.34744535e+00
3.887740e+02 4.37618805e+00
3.890390e+02 4.40780963e+00
3.893040e+02 4.44269646e+00
3.895690e+02 4.48130311e+00
3.898340e+02 4.52411444e+00
3.900990e+02 4.57176683e+00
3.903640e+02 4.62500274e+00
3.904960e+02 4.65398442e+00
3.906290e+02 4.68470855e+00
3.907610e+02 4.71731156e+00
3.908940e+02 4.75192217e+00
3.910260e+02 4.78875259e+00
3.911590e+02 4.82797699e+00
3.912910e+02 4.86979242e+00
3.914240e+02 4.91440335e+00
3.915560e+02 4.96213563e+00
3.916890e+02 5.01324678e+00
3.918210e+02 5.06806262e+00
3.919530e+02 5.12690889e+00
3.920860e+02 5.19027801e+00
3.922180e+02 5.25855640e+00
3.923510e+02 5.33238039e+00
3.924830e+02 5.41225006e+00
3.926280e+02 5.50721072e+00
3.927720e+02 5.61133838e+00
3.929170e+02 5.72587542e+00
3.930610e+02 5.85229924e+00
3.932060e+02 5.99235225e+00
3.933500e+02 6.14814823e+00
3.934230e+02 6.23277746e+00
3.934950e+02 6.32220990e+00
3.935670e+02 6.41710465e+00
3.936390e+02 6.51765108e+00
3.937060e+02 6.61548547e+00
3.937720e+02 6.71888067e+00
3.938380e+02 6.82861698e+00
3.939040e+02 6.94489896e+00
