Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
369,45.3986,(321),0.0193702,0.0980274,(199),21.2866,(82),none
370,33.4752,(245),0.0192196,0.0128466,(416),118.724,(14),none
371,17.9895,(57),0.0191277,0.0100783,(426),14.7862,(142),none
372,19.7639,(79),0.0184808,0.0204031,(385),11.3585,(263),none
373,67.7067,(381),0.018102,0.088926,(216),8.65311,(357),none
374,25.5788,(154),0.0179966,0.065074,(257),10.1388,(312),none
375,11.5178,(6),0.0178472,0.019507,(393),13.0783,(195),none
376,23.8445,(130),0.0177427,0.00716348,(434),16.7223,(112),none
377,19.4052,(71),0.0176744,0.0154588,(406),12.1086,(228),none
378,26.3519,(162),0.0176666,0.0116146,(421),15.9921,(123),none
379,25.3549,(151),0.0173018,0.0255267,(360),9.28473,(337),none
380,31.4371,(223),0.0170918,0.0144726,(410),10.146,(311),none
381,20.3558,(90),0.0167613,0.0268692,(356),16.3973,(118),none
382,14.1112,(30),0.0161745,0.10463,(190),15.272,(136),none
383,30.9983,(217),0.015994,0.00921966,(428),24.0167,(67),none
384,24.3774,(137),0.0149741,0.0095686,(427),10.5331,(296),none
385,21.4279,(97),0.0142718,0.0593879,(270),10.391,(298),none
386,17.6278,(53),0.0141763,0.104795,(189),10.3909,(299),none
387,27.5893,(177),0.0138105,0.0220648,(377),13.2895,(184),none
388,16.7393,(40),0.0135055,0.106237,(186),16.5509,(114),none
389,24.9888,(146),0.0125974,0.015864,(405),11.8645,(238),none
390,26.7174,(167),0.0122529,0.0116433,(420),59.4183,(31),none
391,15.8472,(36),0.0118585,0.15246,(140),15.8528,(128),none
392,27.4036,(175),0.0113887,0.0557055,(279),11.1291,(274),none
393,28.8256,(192),0.0112952,0.0110756,(422),6.96569,(396),none
394,28.856,(193),0.0103864,0.0447652,(307),6.60364,(412),none
395,30.2213,(208),0.0102914,0.0163193,(404),7.8432,(376),none
396,23.0511,(117),0.0101147,0.0207577,(384),7.33096,(384),none
397,17.3133,(48),0.00970867,0.020275,(386),11.4305,(258),none
398,19.9209,(83),0.00931984,0.0120203,(418),12.9856,(202),none
399,54.8726,(350),0.00920221,0.0443637,(309),5.27479,(432),none
400,27.6259,(178),0.00896167,0.0387795,(322),14.4789,(149),none
401,18.4861,(62),0.00894217,0.00612056,(437),15.6017,(131),none
402,23.8597,(131),0.00819274,0.0202064,(388),12.5546,(214),none
403,29.1533,(196),0.00796987,0.00538529,(444),23.4201,(69),none
404,12.0362,(15),0.00725242,0.0771723,(227),13.7788,(169),none
405,11.9543,(14),0.00706475,0.0765205,(229),13.4634,(180),none
406,13.856,(29),0.00698972,0.247478,(108),14.4352,(151),none
407,16.0078,(37),0.00697508,0.0783463,(226),16.156,(120),none
408,37.009,(271),0.00678167,0.0104025,(423),13.0339,(198),none
409,31.5995,(226),0.00660075,0.00630947,(436),38.0528,(52),none
410,40.8167,(292),0.0061973,0.00815936,(430),30.1002,(62),none
411,25.3947,(152),0.00598793,0.034907,(329),9.67753,(325),none
412,28.915,(194),0.00595532,0.0344337,(333),7.01106,(394),none
413,36.3604,(266),0.00539304,0.0074383,(433),62.2216,(29),none
414,19.4758,(74),0.00532055,0.0422523,(314),11.8826,(237),none
415,19.8576,(81),0.00525567,0.00775682,(432),12.5592,(213),none
416,19.8689,(82),0.00517347,0.0425563,(311),12.0113,(236),none
417,22.5782,(112),0.00509972,0.218087,(117),10.3067,(304),none
418,17.1077,(44),0.00473214,0.00589146,(439),69.3116,(26),none
419,23.4475,(123),0.00453116,0.00501998,(445),12.8147,(206),none
420,26.0329,(158),0.00441236,0.00604208,(438),11.4288,(259),none
421,29.6249,(201),0.00436769,0.0202612,(387),9.58784,(328),none
422,26.5883,(165),0.00391332,0.00562157,(442),50.5476,(39),none
423,35.0036,(258),0.00333738,0.00574191,(441),20.2169,(91),none
424,21.9912,(105),0.00326711,0.02136,(382),9.72068,(324),none
425,24.664,(141),0.00308323,0.0222981,(376),9.59426,(327),none
426,18.0952,(59),0.00294864,0.00336888,(447),18.5196,(100),none
427,23.1081,(119),0.00271338,0.0445674,(308),8.50337,(360),none
428,27.3812,(174),0.00268738,0.0103843,(424),11.2274,(270),none
429,22.0238,(106),0.00266768,0.10445,(191),10.0417,(315),none
430,18.993,(67),0.00251246,0.0240126,(371),12.2103,(223),none
431,19.0256,(68),0.00245553,0.0585814,(272),12.3278,(219),none
432,49.0914,(332),0.00236144,0.0100785,(425),52.6285,(35),none
433,19.4628,(73),0.00207739,0.00780526,(431),11.8312,(240),none
434,13.8386,(28),0.00192274,0.0133296,(415),14.3809,(155),none
435,22.1414,(107),0.00162392,0.0220116,(379),10.6938,(288),none
436,17.6056,(52),0.00139868,0.0251292,(365),10.3236,(302),none
437,24.9784,(145),0.00135074,0.0140982,(412),15.4679,(132),none
438,29.2413,(198),0.00103824,0.0273289,(353),7.60879,(380),none
439,17.3404,(49),0.00102495,0.00908843,(429),12.5322,(215),none
440,23.0821,(118),0.00101587,0.0135854,(413),8.00785,(370),none
441,28.6626,(189),0.00084771,0.00552701,(443),7.71052,(377),none
442,23.6288,(127),0.00079316,0.00275261,(448),12.3385,(218),none
443,21.7774,(102),0.000745533,0.0220413,(378),9.24722,(339),none
444,19.4538,(72),0.000720081,0.00266239,(449),12.2315,(222),none
445,19.635,(77),0.000625231,0.0506328,(295),10.2492,(307),none
446,31.9328,(230),0.000500912,0.00498172,(446),13.6939,(173),none
447,19.9838,(85),0.00037374,0.00581496,(440),13.0543,(197),none
448,2.68127,(1),0.0,8.94922,(12),5.93973,(422),none
449,11.3003,(2),0.0,8.20526,(13),13.0931,(193),none
