>,14-Si-30:0.030920
2.177590e+03,2.56578986e-03
2.179880e+03,2.73666507e-03
2.181030e+03,2.83038549e-03
2.182170e+03,2.93027268e-03
2.183320e+03,3.03692384e-03
2.184460e+03,3.15076522e-03
2.185600e+03,3.27264271e-03
2.186750e+03,3.40343312e-03
2.187500e+03,3.49590764e-03
2.188010e+03,3.55879857e-03
2.189270e+03,3.72741922e-03
2.190530e+03,3.91075160e-03
2.191780e+03,4.11037999e-03
2.193040e+03,4.32862105e-03
2.194300e+03,4.56764035e-03
2.195560e+03,4.83022069e-03
2.196820e+03,5.11929947e-03
2.198080e+03,5.43911273e-03
2.199340e+03,5.79386559e-03
2.200600e+03,6.18887629e-03
2.201220e+03,6.40323421e-03
2.201850e+03,6.63011356e-03
2.202480e+03,6.87087599e-03
2.203110e+03,7.12592346e-03
2.203740e+03,7.39677105e-03
2.204370e+03,7.68477924e-03
2.205000e+03,7.99192691e-03
2.205630e+03,8.31889430e-03
2.206260e+03,8.66793857e-03
2.206890e+03,9.04110044e-03
2.207690e+03,9.55548506e-03
2.208490e+03,1.01174555e-02
2.209290e+03,1.07339071e-02
2.210090e+03,1.14123223e-02
2.210890e+03,1.21614825e-02
2.211690e+03,1.29917458e-02
2.212500e+03,1.39153864e-02
2.212900e+03,1.44172950e-02
2.213300e+03,1.49469698e-02
2.213930e+03,1.58454934e-02
2.214560e+03,1.68301601e-02
2.215190e+03,1.79159043e-02
2.215810e+03,1.91133018e-02
2.216440e+03,2.04427574e-02
2.217070e+03,2.19198251e-02
2.217390e+03,2.27229966e-02
2.217700e+03,2.35701994e-02
2.218020e+03,2.44705525e-02
2.218330e+03,2.54225123e-02
2.218620e+03,2.63439872e-02
2.218900e+03,2.73149972e-02
2.219190e+03,2.83428369e-02
2.219480e+03,2.94321456e-02
2.219760e+03,3.05879953e-02
2.220050e+03,3.18161348e-02
2.220330e+03,3.31227814e-02
2.220620e+03,3.45147660e-02
2.220910e+03,3.60001290e-02
2.221190e+03,3.75875291e-02
2.221480e+03,3.92871677e-02
2.221760e+03,4.11101783e-02
2.222050e+03,4.30689265e-02
2.222340e+03,4.51779459e-02
2.222620e+03,4.74536252e-02
2.222910e+03,4.99151326e-02
2.223220e+03,5.28673381e-02
2.223540e+03,5.61055524e-02
2.223850e+03,5.96699738e-02
2.224170e+03,6.35964673e-02
2.224480e+03,6.79688284e-02
2.224800e+03,7.28312703e-02
2.224950e+03,7.54956292e-02
2.225110e+03,7.83046925e-02
2.225270e+03,8.12896907e-02
2.225430e+03,8.44676296e-02
2.225580e+03,8.78799433e-02
2.225740e+03,9.15052947e-02
2.225900e+03,9.54154192e-02
2.226060e+03,9.95902190e-02
2.226210e+03,1.04115962e-01
2.226370e+03,1.08974712e-01
2.226530e+03,1.14237896e-01
2.226680e+03,1.19958078e-01
2.226840e+03,1.26236675e-01
2.227000e+03,1.33064411e-01
2.227160e+03,1.40560637e-01
2.227310e+03,1.48820588e-01
2.227470e+03,1.58014941e-01
2.227630e+03,1.68154827e-01
2.227790e+03,1.79443391e-01
2.227940e+03,1.92049767e-01
2.228050e+03,2.01586719e-01
2.228160e+03,2.11809785e-01
2.228270e+03,2.22987353e-01
2.228370e+03,2.34994504e-01
2.228480e+03,2.48146932e-01
2.228590e+03,2.62298694e-01
2.228690e+03,2.77670560e-01
2.228800e+03,2.94375387e-01
2.228910e+03,3.12710006e-01
2.229020e+03,3.32467873e-01
2.229120e+03,3.53944894e-01
2.229230e+03,3.77289481e-01
2.229340e+03,4.02900504e-01
2.229450e+03,4.30468763e-01
2.229550e+03,4.60390036e-01
2.229660e+03,4.92837471e-01
2.229740e+03,5.18519614e-01
2.229820e+03,5.45753940e-01
2.229900e+03,5.74614659e-01
2.229970e+03,6.04780203e-01
2.230050e+03,6.37097777e-01
2.230130e+03,6.70825304e-01
2.230210e+03,7.06905843e-01
2.230290e+03,7.44492185e-01
2.230370e+03,7.84629428e-01
