>,28-Ni-60:0.262230
>,28-Ni-61:0.011399
>,28-Ni-62:0.036346
>,28-Ni-64:0.009255
5.625000e-01,2.35922167e+01
5.871740e-01,2.34712643e+01
5.937500e-01,2.34394086e+01
6.000000e-01,2.34116459e+01
6.250000e-01,2.33005952e+01
6.307610e-01,2.32775564e+01
6.499900e-01,2.32016187e+01
6.743480e-01,2.31054259e+01
6.875000e-01,2.30540210e+01
6.999900e-01,2.30090543e+01
7.179340e-01,2.29444521e+01
7.187500e-01,2.29415437e+01
7.499900e-01,2.28360415e+01
7.500000e-01,2.28360077e+01
7.500250e-01,2.28359285e+01
7.500490e-01,2.28358525e+01
7.500980e-01,2.28356973e+01
7.501950e-01,2.28353900e+01
7.503910e-01,2.28347691e+01
7.507810e-01,2.28335338e+01
7.515620e-01,2.28310599e+01
7.531240e-01,2.28261121e+01
7.562490e-01,2.28162134e+01
7.615210e-01,2.27995138e+01
7.624980e-01,2.27964481e+01
7.749950e-01,2.27572335e+01
7.812500e-01,2.27376058e+01
7.999900e-01,2.26826225e+01
8.051080e-01,2.26676062e+01
8.125000e-01,2.26461259e+01
8.486950e-01,2.25489191e+01
8.499900e-01,2.25454790e+01
8.750000e-01,2.24790403e+01
8.999900e-01,2.24177753e+01
9.243480e-01,2.23580597e+01
9.375000e-01,2.23262426e+01
9.499900e-01,2.22977051e+01
9.687500e-01,2.22548417e+01
9.999900e-01,2.21864260e+01
1.000000e+00,2.21864041e+01
1.000030e+00,2.21863419e+01
1.000060e+00,2.21862798e+01
1.000120e+00,2.21861555e+01
1.000250e+00,2.21858861e+01
1.000490e+00,2.21853889e+01
1.000980e+00,2.21843737e+01
1.001950e+00,2.21823641e+01
1.003910e+00,2.21783035e+01
1.007810e+00,2.21702237e+01
1.015630e+00,2.21540226e+01
1.031250e+00,2.21216618e+01
1.062500e+00,2.20600663e+01
1.075780e+00,2.20358070e+01
1.125000e+00,2.19469555e+01
1.151560e+00,2.19034666e+01
1.187500e+00,2.18453293e+01
1.227340e+00,2.17809333e+01
1.250000e+00,2.17446521e+01
1.303110e+00,2.16670214e+01
1.312500e+00,2.16534228e+01
1.375000e+00,2.15682861e+01
1.378890e+00,2.15633906e+01
1.437500e+00,2.14903153e+01
1.454670e+00,2.14702836e+01
1.500000e+00,2.14180908e+01
1.606230e+00,2.13042392e+01
1.625000e+00,2.12843894e+01
1.687500e+00,2.12225764e+01
1.704670e+00,2.12063300e+01
1.750000e+00,2.11638458e+01
1.803110e+00,2.11170617e+01
1.812500e+00,2.11088908e+01
1.875000e+00,2.10581504e+01
2.000000e+00,2.09627430e+01
2.000010e+00,2.09627362e+01
2.000020e+00,2.09627293e+01
2.000050e+00,2.09627086e+01
2.000090e+00,2.09626811e+01
2.000180e+00,2.09626191e+01
2.000370e+00,2.09624882e+01
2.000730e+00,2.09622401e+01
2.001470e+00,2.09617303e+01
2.003660e+00,2.09602215e+01
2.005860e+00,2.09587058e+01
2.011680e+00,2.09546962e+01
2.017490e+00,2.09506933e+01
2.029120e+00,2.09426810e+01
2.052370e+00,2.09266634e+01
2.098880e+00,2.08946224e+01
2.112030e+00,2.08855638e+01
2.187500e+00,2.08339874e+01
2.191900e+00,2.08311996e+01
2.224060e+00,2.08108259e+01
2.281250e+00,2.07750470e+01
2.375000e+00,2.07192278e+01
2.377930e+00,2.07176153e+01
2.448120e+00,2.06789921e+01
2.468750e+00,2.06678092e+01
2.500000e+00,2.06519885e+01
2.562500e+00,2.06203471e+01
2.563970e+00,2.06196499e+01
2.672170e+00,2.05683377e+01
2.750000e+00,2.05319485e+01
2.896230e+00,2.04698729e+01
2.937500e+00,2.04525812e+01
3.000000e+00,2.04264155e+01
3.007810e+00,2.04231459e+01
3.027340e+00,2.04149706e+01
3.125000e+00,2.03769552e+01
3.133720e+00,2.03735635e+01
3.166020e+00,2.03611668e+01
3.265630e+00,2.03259855e+01
3.304690e+00,2.03121917e+01
3.312500e+00,2.03095596e+01
3.335940e+00,2.03017736e+01
3.359380e+00,2.02940402e+01
3.371210e+00,2.02902026e+01
3.406250e+00,2.02789664e+01
3.500000e+00,2.02496935e+01
3.523440e+00,2.02428811e+01
3.608700e+00,2.02181051e+01
3.781250e+00,2.01685072e+01
3.846190e+00,2.01498427e+01
3.869060e+00,2.01433418e+01
3.875000e+00,2.01418309e+01
4.000000e+00,2.01100798e+01
4.039060e+00,2.01001583e+01
4.083680e+00,2.00888255e+01
4.238130e+00,2.00499521e+01
4.250000e+00,2.00471833e+01
4.296880e+00,2.00364681e+01
4.321170e+00,2.00310598e+01
4.343750e+00,2.00260841e+01
4.437500e+00,2.00059542e+01
4.500000e+00,1.99930998e+01
4.554690e+00,1.99818517e+01
4.558660e+00,1.99810352e+01
4.625000e+00,1.99675064e+01
4.796150e+00,1.99350491e+01
4.812500e+00,1.99319837e+01
5.000000e+00,1.98968325e+01
5.187560e+00,1.98644271e+01
5.312500e+00,1.98431015e+01
5.499900e+00,1.98131860e+01
5.578970e+00,1.98005638e+01
5.625000e+00,1.97933039e+01
5.781250e+00,1.97698876e+01
5.937500e+00,1.97477353e+01
5.970380e+00,1.97433848e+01
5.999900e+00,1.97395302e+01
6.093750e+00,1.97272757e+01
6.250000e+00,1.97076285e+01
6.361790e+00,1.96945474e+01
6.499900e+00,1.96785546e+01
6.753200e+00,1.96492230e+01
6.875000e+00,1.96352458e+01
6.999900e+00,1.96224030e+01
7.144600e+00,1.96075243e+01
7.499900e+00,1.95714234e+01
7.500000e+00,1.95714132e+01
7.500250e+00,1.95713897e+01
7.500490e+00,1.95713671e+01
7.500980e+00,1.95713210e+01
7.501950e+00,1.95712297e+01
7.503910e+00,1.95710453e+01
7.507810e+00,1.95706783e+01
7.515620e+00,1.95699434e+01
7.531240e+00,1.95684736e+01
7.536010e+00,1.95680248e+01
7.562490e+00,1.95655515e+01
7.624980e+00,1.95597148e+01
7.749950e+00,1.95480424e+01
7.812500e+00,1.95422001e+01
7.927420e+00,1.95321433e+01
7.968750e+00,1.95285643e+01
7.999900e+00,1.95260289e+01
8.125000e+00,1.95158465e+01
8.445570e+00,1.94913889e+01
8.499900e+00,1.94872867e+01
8.750000e+00,1.94684026e+01
8.963710e+00,1.94536515e+01
8.999900e+00,1.94511963e+01
