>,38-Sr-87:0.070000
>,38-Sr-88:0.825800
>,38-Sr-89:0.000000
>,38-Sr-90:0.000000
3.530000e+00,7.53707931e+01
3.534420e+00,7.52258877e+01
3.538840e+00,7.49276822e+01
3.547670e+00,7.38867713e+01
3.556500e+00,7.22837604e+01
3.565340e+00,7.01760495e+01
3.574170e+00,6.76331486e+01
3.583010e+00,6.47360477e+01
3.591840e+00,6.15697268e+01
3.600680e+00,5.82196559e+01
3.608700e+00,5.50868660e+01
3.616720e+00,5.19259361e+01
3.624740e+00,4.87857962e+01
3.632760e+00,4.57081663e+01
3.640780e+00,4.27270665e+01
3.648800e+00,3.98686066e+01
3.656820e+00,3.71516867e+01
3.664840e+00,3.45887668e+01
3.672190e+00,3.23828477e+01
3.679530e+00,3.03134286e+01
3.686880e+00,2.83788996e+01
3.694220e+00,2.65764605e+01
3.701560e+00,2.49009315e+01
3.708910e+00,2.33466424e+01
3.716250e+00,2.19068033e+01
3.723590e+00,2.05742743e+01
3.732270e+00,1.91277136e+01
3.740950e+00,1.78091129e+01
3.749630e+00,1.66068522e+01
3.758310e+00,1.55101515e+01
3.766980e+00,1.45088608e+01
3.775660e+00,1.35938101e+01
3.784340e+00,1.27563893e+01
3.793020e+00,1.19889686e+01
3.800360e+00,1.13891296e+01
3.807710e+00,1.08307305e+01
3.815050e+00,1.03102015e+01
3.822390e+00,9.82453240e+00
3.829740e+00,9.37078333e+00
3.837080e+00,8.94643428e+00
3.844420e+00,8.54903522e+00
3.851770e+00,8.17655615e+00
3.859110e+00,7.82696710e+00
3.866450e+00,7.49858804e+00
3.873800e+00,7.18973898e+00
3.875000e+00,7.14220196e+00
3.881140e+00,6.89897195e+00
3.888480e+00,6.62493514e+00
3.895830e+00,6.36647331e+00
3.903170e+00,6.12241749e+00
3.910510e+00,5.89174567e+00
3.917860e+00,5.67350584e+00
3.925200e+00,5.46688602e+00
3.939890e+00,5.08532138e+00
3.954570e+00,4.74148674e+00
3.969260e+00,4.43067809e+00
3.983950e+00,4.14882845e+00
3.998630e+00,3.89253581e+00
4.013320e+00,3.65884616e+00
4.028010e+00,3.44523251e+00
4.038020e+00,3.30993985e+00
4.048040e+00,3.18234018e+00
4.058050e+00,3.06185952e+00
4.068060e+00,2.94799385e+00
4.078080e+00,2.84026718e+00
4.088090e+00,2.73825952e+00
4.108120e+00,2.54981918e+00
4.128140e+00,2.37988686e+00
4.148170e+00,2.22612452e+00
4.168200e+00,2.08654419e+00
4.188230e+00,1.95947285e+00
4.202910e+00,1.87339922e+00
4.217600e+00,1.79278557e+00
4.232290e+00,1.71718392e+00
4.246970e+00,1.64620929e+00
4.250000e+00,1.63244483e+00
4.261660e+00,1.57947820e+00
4.276350e+00,1.51667451e+00
4.291030e+00,1.45748983e+00
4.305720e+00,1.40167215e+00
4.320410e+00,1.34895546e+00
4.335090e+00,1.29912279e+00
4.349780e+00,1.25196410e+00
4.364470e+00,1.20731142e+00
4.393840e+00,1.12479606e+00
4.423210e+00,1.05038669e+00
4.452590e+00,9.83047323e-01
4.481960e+00,9.21937961e-01
4.511330e+00,8.66302599e-01
4.540710e+00,8.15525229e-01
4.570080e+00,7.69052867e-01
4.599450e+00,7.26423505e-01
4.625000e+00,6.92337239e-01
4.628830e+00,6.87228051e-01
4.658200e+00,6.51118884e-01
4.679560e+00,6.26618108e-01
4.700930e+00,6.03482324e-01
4.722290e+00,5.81612148e-01
4.743650e+00,5.60917273e-01
4.786380e+00,5.22705513e-01
4.829100e+00,4.88245061e-01
4.871830e+00,4.57066901e-01
4.914550e+00,4.28786749e-01
4.957280e+00,4.03062989e-01
5.000000e+00,3.79600237e-01
5.026860e+00,3.65896798e-01
5.053710e+00,3.52932566e-01
5.107420e+00,3.29016594e-01
5.161130e+00,3.07489023e-01
5.214840e+00,2.88041851e-01
5.268560e+00,2.70417473e-01
5.312500e+00,2.57312152e-01
5.322270e+00,2.54398771e-01
5.375980e+00,2.39799432e-01
5.429690e+00,2.26455892e-01
5.466310e+00,2.18006479e-01
5.502930e+00,2.10037266e-01
5.539550e+00,2.02513254e-01
5.576170e+00,1.95402241e-01
5.625000e+00,1.86677015e-01
5.649420e+00,1.82314938e-01
5.722660e+00,1.70582900e-01
5.795900e+00,1.59991162e-01
5.869140e+00,1.50387824e-01
5.937500e+00,1.42249552e-01
5.942380e+00,1.41668806e-01
6.015630e+00,1.33735449e-01
6.074220e+00,1.27890949e-01
6.132810e+00,1.22449650e-01
6.191410e+00,1.17374444e-01
6.250000e+00,1.12633844e-01
6.303710e+00,1.08560913e-01
6.357420e+00,1.04724581e-01
6.411130e+00,1.01108049e-01
6.464840e+00,9.76938169e-02
6.572270e+00,9.14155480e-02
6.679690e+00,8.57861843e-02
6.787110e+00,8.07196205e-02
6.875000e+00,7.69746051e-02
6.894530e+00,7.61437302e-02
7.001950e+00,7.20021057e-02
7.109380e+00,6.82366568e-02
7.187500e+00,6.57086306e-02
7.265630e+00,6.33409000e-02
7.343750e+00,6.11200338e-02
7.421880e+00,5.90340532e-02
7.500000e+00,5.70721170e-02
7.578130e+00,5.52304235e-02
7.656250e+00,5.35010138e-02
7.792970e+00,5.06982280e-02
7.929690e+00,4.81446423e-02
8.066410e+00,4.58196765e-02
8.125000e+00,4.49097891e-02
8.203130e+00,4.36999047e-02
8.339840e+00,4.17610166e-02
8.476560e+00,3.99804650e-02
8.613280e+00,3.83408934e-02
8.750000e+00,3.68273218e-02
8.906250e+00,3.52407848e-02
9.062500e+00,3.37846578e-02
9.218750e+00,3.24443108e-02
9.375000e+00,3.12072138e-02
9.531250e+00,3.00667081e-02
9.687500e+00,2.90088724e-02
9.843750e+00,2.80254467e-02
1.000000e+01,2.71090810e-02
1.023440e+01,2.58528824e-02
1.046880e+01,2.47145638e-02
1.062500e+01,2.40239285e-02
1.070310e+01,2.36802397e-02
1.093750e+01,2.27416196e-02
1.113280e+01,2.20228523e-02
1.125000e+01,2.16159245e-02
1.132810e+01,2.13469550e-02
1.152340e+01,2.07192990e-02
1.171880e+01,2.01339723e-02
1.187500e+01,1.96916568e-02
1.191410e+01,1.95809639e-02
1.210940e+01,1.90636954e-02
1.250000e+01,1.81134386e-02
1.281250e+01,1.74360102e-02
1.312500e+01,1.68141619e-02
1.343750e+01,1.62409635e-02
1.375000e+01,1.57105352e-02
1.406250e+01,1.52252376e-02
1.437500e+01,1.47735400e-02
1.468750e+01,1.43515924e-02
1.500000e+01,1.39563848e-02
1.531250e+01,1.35910045e-02
1.562500e+01,1.32471843e-02
1.593750e+01,1.29228240e-02
1.625000e+01,1.26170138e-02
1.687500e+01,1.20606407e-02
1.750000e+01,1.15567677e-02
1.812500e+01,1.11060449e-02
1.875000e+01,1.06935282e-02
1.937500e+01,1.03198970e-02
2.000000e+01,9.97429376e-03
2.053490e+01,9.70432056e-03
2.106980e+01,9.45066436e-03
2.160470e+01,9.21136516e-03
2.187500e+01,9.09807404e-03
2.213960e+01,8.99007934e-03
2.267450e+01,8.78070952e-03
2.320930e+01,8.58351313e-03
2.374420e+01,8.39328131e-03
2.375000e+01,8.39135712e-03
2.427910e+01,8.22066614e-03
2.481400e+01,8.05279405e-03
2.534890e+01,7.89612896e-03
2.562500e+01,7.81785000e-03
2.588380e+01,7.74626198e-03
2.641870e+01,7.60662351e-03
2.748850e+01,7.34663857e-03
2.750000e+01,7.34414306e-03
2.855820e+01,7.12146542e-03
2.915250e+01,7.00983295e-03
2.937500e+01,6.97246176e-03
2.974690e+01,6.91179202e-03
3.034120e+01,6.82924253e-03
3.093550e+01,6.76703503e-03
3.125000e+01,6.74790801e-03
3.141100e+01,6.73888345e-03
3.164870e+01,6.73550241e-03
3.188640e+01,6.74201938e-03
3.212410e+01,6.76069534e-03
3.236190e+01,6.79542510e-03
3.259960e+01,6.85122906e-03
3.271850e+01,6.88972694e-03
3.283730e+01,6.93763003e-03
3.295620e+01,6.99679890e-03
3.307510e+01,7.06958978e-03
3.312500e+01,7.10721392e-03
3.319390e+01,7.15941217e-03
3.331280e+01,7.27029153e-03
3.340190e+01,7.37047269e-03
3.349110e+01,7.48879400e-03
3.358020e+01,7.62953315e-03
3.366940e+01,7.79808646e-03
3.371400e+01,7.89491062e-03
3.375850e+01,8.00144762e-03
3.380310e+01,8.11897778e-03
3.384770e+01,8.24890493e-03
3.389230e+01,8.39301409e-03
3.393680e+01,8.55325509e-03
3.398140e+01,8.73207724e-03
3.402600e+01,8.93240340e-03
3.407060e+01,9.15783155e-03
3.411510e+01,9.41257955e-03
3.415970e+01,9.70207171e-03
3.420430e+01,1.00327519e-02
3.424890e+01,1.04130130e-02
3.427110e+01,1.06248894e-02
3.429340e+01,1.08531420e-02
3.431570e+01,1.10998046e-02
3.433800e+01,1.13666272e-02
3.436030e+01,1.16562698e-02
3.438260e+01,1.19711823e-02
3.441410e+01,1.24673212e-02
3.444570e+01,1.30316362e-02
3.446150e+01,1.33437187e-02
3.447730e+01,1.36784112e-02
3.449310e+01,1.40381637e-02
3.450890e+01,1.44253562e-02
3.452470e+01,1.48437687e-02
3.454040e+01,1.52968350e-02
3.455620e+01,1.57888175e-02
3.457200e+01,1.63245500e-02
3.458780e+01,1.69107525e-02
3.460360e+01,1.75538650e-02
3.461940e+01,1.82634075e-02
3.463520e+01,1.90489000e-02
3.464540e+01,1.96041678e-02
3.465560e+01,2.02001756e-02
3.466580e+01,2.08425935e-02
3.467600e+01,2.15352713e-02
3.468620e+01,2.22854891e-02
3.469640e+01,2.30984269e-02
3.470670e+01,2.39831809e-02
3.471690e+01,2.49465487e-02
3.472710e+01,2.60001465e-02
3.473730e+01,2.71527943e-02
3.474750e+01,2.84189821e-02
3.475770e+01,2.98099800e-02
3.476800e+01,3.13440539e-02
3.477820e+01,3.30352117e-02
3.478840e+01,3.49059896e-02
3.479860e+01,3.69736774e-02
3.480650e+01,3.87244936e-02
3.481440e+01,4.06171299e-02
3.482230e+01,4.26688061e-02
3.483020e+01,4.48874324e-02
3.483810e+01,4.72925386e-02
3.484600e+01,4.98927349e-02
3.485390e+01,5.27063611e-02
3.486170e+01,5.57493112e-02
3.486960e+01,5.90427875e-02
3.487750e+01,6.25955437e-02
3.488540e+01,6.64292800e-02
3.489330e+01,7.05619862e-02
3.490120e+01,7.50180225e-02
3.490910e+01,7.98029187e-02
3.491700e+01,8.49420150e-02
3.492490e+01,9.04521112e-02
3.493510e+01,9.81692190e-02
3.494530e+01,1.06563227e-01
3.495550e+01,1.15683835e-01
3.496570e+01,1.25539442e-01
3.497600e+01,1.36172046e-01
3.498620e+01,1.47575354e-01
3.499640e+01,1.59780162e-01
3.500000e+01,1.64361482e-01
3.500660e+01,1.72760603e-01
3.501680e+01,1.86531361e-01
3.502700e+01,2.01042720e-01
3.503730e+01,2.16288375e-01
3.504750e+01,2.32191333e-01
3.505770e+01,2.48722892e-01
3.506790e+01,2.65775950e-01
3.508830e+01,3.01148367e-01
3.512920e+01,3.73622197e-01
3.514960e+01,4.08472414e-01
3.517000e+01,4.40699031e-01
3.518030e+01,4.55444886e-01
3.519050e+01,4.69045545e-01
3.520070e+01,4.81379203e-01
