>,24-Cr-53:0.095001
>,24-Cr-54:0.023650
1.312500e+03,4.50347019e+00
1.322630e+03,4.51647446e+00
1.366630e+03,4.57296788e+00
1.375000e+03,4.58371905e+00
1.388620e+03,4.60238378e+00
1.410620e+03,4.63253294e+00
1.428950e+03,4.65766226e+00
1.437500e+03,4.66938770e+00
1.447280e+03,4.68347487e+00
1.465610e+03,4.70989426e+00
1.483950e+03,4.73634535e+00
1.500000e+03,4.75952255e+00
1.502280e+03,4.76310026e+00
1.511440e+03,4.77749458e+00
1.520610e+03,4.79191346e+00
1.529770e+03,4.80634967e+00
1.538940e+03,4.82083558e+00
1.548100e+03,4.83536396e+00
1.557270e+03,4.84999232e+00
1.562160e+03,4.85784219e+00
1.567050e+03,4.86575071e+00
1.571940e+03,4.87373464e+00
1.576820e+03,4.88180293e+00
1.581710e+03,4.89004661e+00
1.584160e+03,4.89424776e+00
1.586600e+03,4.89851652e+00
1.589040e+03,4.90287744e+00
1.591490e+03,4.90738024e+00
1.593750e+03,4.91168333e+00
1.593930e+03,4.91204608e+00
1.596380e+03,4.91719854e+00
1.598130e+03,4.92105602e+00
1.599890e+03,4.92511514e+00
1.601650e+03,4.92944238e+00
1.603400e+03,4.93409587e+00
1.605160e+03,4.93923588e+00
1.606040e+03,4.94204049e+00
1.606920e+03,4.94502945e+00
1.607800e+03,4.94825301e+00
1.608670e+03,4.95173578e+00
1.609550e+03,4.95557101e+00
1.610430e+03,4.95984195e+00
1.611230e+03,4.96419232e+00
1.612030e+03,4.96912084e+00
1.612840e+03,4.97477888e+00
1.613640e+03,4.98133292e+00
1.614440e+03,4.98908516e+00
1.614840e+03,4.99353105e+00
1.615240e+03,4.99843778e+00
1.615640e+03,5.00388915e+00
1.616040e+03,5.00998570e+00
1.616450e+03,5.01686204e+00
1.616850e+03,5.02465114e+00
1.617270e+03,5.03401659e+00
1.617690e+03,5.04493214e+00
1.618110e+03,5.05778324e+00
1.618320e+03,5.06510953e+00
1.618530e+03,5.07314804e+00
1.618740e+03,5.08201606e+00
1.618950e+03,5.09182253e+00
1.619160e+03,5.10276016e+00
1.619370e+03,5.11503005e+00
1.619580e+03,5.12891709e+00
1.619790e+03,5.14479832e+00
1.620000e+03,5.16321001e+00
1.620210e+03,5.18492302e+00
1.620320e+03,5.19859513e+00
1.620440e+03,5.21385979e+00
1.620550e+03,5.23098405e+00
1.620670e+03,5.25022873e+00
1.620780e+03,5.27236362e+00
1.620890e+03,5.29763225e+00
1.621010e+03,5.32723335e+00
1.621120e+03,5.36154291e+00
1.621240e+03,5.40233833e+00
1.621350e+03,5.45026373e+00
1.621470e+03,5.50788416e+00
1.621520e+03,5.54048951e+00
1.621580e+03,5.57618725e+00
1.621640e+03,5.61599069e+00
1.621700e+03,5.65886922e+00
1.621750e+03,5.70582777e+00
1.621810e+03,5.75731151e+00
1.621870e+03,5.81476947e+00
1.621930e+03,5.87669343e+00
1.621980e+03,5.94450727e+00
1.622040e+03,6.01879861e+00
1.622110e+03,6.12273534e+00
1.622180e+03,6.23911485e+00
1.622260e+03,6.36929510e+00
1.622330e+03,6.51252926e+00
1.622360e+03,6.59125983e+00
1.622400e+03,6.67437315e+00
1.622430e+03,6.76203571e+00
1.622470e+03,6.85186898e+00
1.622510e+03,6.94918467e+00
1.622540e+03,7.05168641e+00
1.622580e+03,7.15961828e+00
1.622610e+03,7.26995438e+00
1.622650e+03,7.38924815e+00
1.622680e+03,7.51462452e+00
1.622720e+03,7.64634432e+00
1.622760e+03,7.78462487e+00
1.622790e+03,7.92968347e+00
1.622830e+03,8.08180610e+00
1.622860e+03,8.24116762e+00
1.622900e+03,8.40332828e+00
1.622940e+03,8.57773900e+00
1.622970e+03,8.76009246e+00
1.623010e+03,8.95064949e+00
1.623040e+03,9.14397104e+00
1.623080e+03,9.35133631e+00
1.623110e+03,9.56751572e+00
1.623190e+03,1.00205969e+01
1.623240e+03,1.03685620e+01
1.623290e+03,1.07285343e+01
1.623340e+03,1.11076106e+01
1.623390e+03,1.15060340e+01
1.623440e+03,1.19243156e+01
1.623490e+03,1.23625392e+01
1.623540e+03,1.28209561e+01
1.623590e+03,1.32997340e+01
1.623640e+03,1.38089275e+01
1.623690e+03,1.43285948e+01
1.623790e+03,1.54280067e+01
