>,82-Pb-207:0.221000
>,82-Pb-208:0.524000
3.312500e+00,1.51947190e-02
3.369900e+00,1.50680544e-02
3.500000e+00,1.47814957e-02
3.750000e+00,1.42911602e-02
3.875000e+00,1.40481617e-02
4.000000e+00,1.38351528e-02
4.062500e+00,1.37293546e-02
4.070930e+00,1.37151031e-02
4.093320e+00,1.36772823e-02
4.115700e+00,1.36395111e-02
4.160470e+00,1.35640017e-02
4.250000e+00,1.34130618e-02
4.437500e+00,1.31350561e-02
4.625000e+00,1.28577518e-02
5.000000e+00,1.23659481e-02
5.312500e+00,1.19970933e-02
5.468750e+00,1.18272717e-02
5.625000e+00,1.16586687e-02
5.937500e+00,1.13470920e-02
5.944820e+00,1.13403397e-02
5.963900e+00,1.13227548e-02
5.982970e+00,1.13051955e-02
6.021120e+00,1.12701016e-02
6.097410e+00,1.11999645e-02
6.250000e+00,1.10597348e-02
6.562500e+00,1.08015442e-02
6.875000e+00,1.05445716e-02
7.500000e+00,1.00951204e-02
8.000000e+00,9.77761897e-03
8.125000e+00,9.69878266e-03
8.141870e+00,9.68922159e-03
8.178250e+00,9.66861714e-03
8.214640e+00,9.64802975e-03
8.287420e+00,9.60687736e-03
8.432960e+00,9.52461127e-03
8.724060e+00,9.36039320e-03
8.750000e+00,9.34580780e-03
8.828130e+00,9.30616104e-03
8.906250e+00,9.26652748e-03
9.062500e+00,9.18727795e-03
9.375000e+00,9.02885731e-03
1.000000e+01,8.74177037e-03
1.062500e+01,8.48067404e-03
1.093750e+01,8.36057298e-03
1.125000e+01,8.24133758e-03
1.187500e+01,8.02096398e-03
1.188960e+01,8.01619981e-03
1.192780e+01,8.00375216e-03
1.196590e+01,7.99135073e-03
1.204220e+01,7.96653524e-03
1.219480e+01,7.91692108e-03
1.250000e+01,7.81773055e-03
1.312500e+01,7.63512767e-03
1.375000e+01,7.45338859e-03
1.500000e+01,7.13550194e-03
1.600000e+01,6.91092617e-03
1.625000e+01,6.85515682e-03
1.628370e+01,6.84840051e-03
1.635650e+01,6.83381686e-03
1.642930e+01,6.81925140e-03
1.657480e+01,6.79014921e-03
1.686590e+01,6.73194131e-03
1.744810e+01,6.61575792e-03
1.750000e+01,6.60543515e-03
1.765630e+01,6.57737818e-03
1.781250e+01,6.54934520e-03
1.812500e+01,6.49327626e-03
1.875000e+01,6.38119437e-03
2.000000e+01,6.17805887e-03
2.182620e+01,5.91369325e-03
2.187500e+01,5.90666017e-03
2.199220e+01,5.89173281e-03
2.210940e+01,5.87681525e-03
2.234380e+01,5.84698293e-03
2.281250e+01,5.78734994e-03
2.375000e+01,5.66815730e-03
2.377930e+01,5.66483433e-03
2.389560e+01,5.65167373e-03
2.401180e+01,5.63853923e-03
2.424440e+01,5.61225723e-03
2.470950e+01,5.55972073e-03
2.562500e+01,5.45636470e-03
2.563970e+01,5.45486918e-03
2.750000e+01,5.26667849e-03
2.937170e+01,5.09582668e-03
2.937500e+01,5.09552625e-03
2.944390e+01,5.08976998e-03
2.960370e+01,5.07642024e-03
